county_fips,state,county,total_hh,eligible_hh,enrolled_hh,gap_hh,gap_rate,lep_hh,lep_share,noncitizen_share,no_hs_share,high_income_share,poverty_share,gap_hh_rank,gap_rate_rank,gap_severity,gap_score,score_language,score_documentation,score_awareness,score_stigma,top_barrier,barrier_rank,barrier_scores,barrier_weight,priority_score,priority_rank,priority_tier
01031,01,031,20860,5556.5,2562,2994.5,0.5389183838747413,363,0.0174017257909875,0.0257786137080267,0.1397680468241925,0.5210930009587728,0.1294822627037392,767,1353,high,65.06,68.85,67.2,49.32,73.05,stigma,"[""stigma"", ""language"", ""documentation"", ""awareness""]","{""language"": 68.85, ""documentation"": 67.2, ""awareness"": 49.32, ""stigma"": 73.05}",0.8,52.05,1336,P3
01033,01,033,24217,6735.5,3841,2894.5,0.4297379556083438,223,0.0092084073171738,0.0092978073827366,0.124505832397872,0.4667382417310154,0.1244580253540901,791,2189,moderate,59.22,50.15,34.96,43.95,50.74,stigma,"[""stigma"", ""language"", ""awareness"", ""documentation""]","{""language"": 50.15, ""documentation"": 34.96, ""awareness"": 43.95, ""stigma"": 50.74}",0.8,47.38,1693,P4
01035,01,035,4528,1654.5,771,883.5,0.5339981867633726,22,0.0048586572438162,0.00289194636754,0.1251384274640088,0.3460689045936396,0.1733657243816254,1964,1397,high,46.23,31.71,10.61,68.27,55.62,awareness,"[""awareness"", ""stigma"", ""language"", ""documentation""]","{""language"": 31.71, ""documentation"": 10.61, ""awareness"": 68.27, ""stigma"": 55.62}",1.1,50.85,1416,P3
01037,01,037,4201,1044.0,573,471.0,0.4511494252873563,0,0.0,0.00193742129226,0.1722747321991178,0.4696500833134968,0.0816472268507498,2519,2037,moderate,33.47,0.0,7.21,79.67,34.4,awareness,"[""awareness"", ""stigma"", ""documentation"", ""language""]","{""language"": 0.0, ""documentation"": 7.21, ""awareness"": 79.67, ""stigma"": 34.4}",1.1,36.82,2505,P4
01039,01,039,14495,4912.5,1994,2918.5,0.5940966921119593,14,0.0009658502932045,0.0055250086328259,0.1381760459578971,0.43787512935495,0.1462573301138323,787,977,high,67.5,10.25,21.69,54.15,62.88,stigma,"[""stigma"", ""awareness"", ""documentation"", ""language""]","{""language"": 10.25, ""documentation"": 21.69, ""awareness"": 54.15, ""stigma"": 62.88}",0.8,54.0,1191,P3
01041,01,041,5075,1814.0,934,880.0,0.4851157662624035,83,0.0163546798029556,0.0096622032866707,0.1742091388400703,0.4001970443349754,0.1680788177339901,1973,1771,moderate,43.64,67.18,36.36,77.61,57.18,awareness,"[""awareness"", ""language"", ""stigma"", ""documentation""]","{""language"": 67.18, ""documentation"": 36.36, ""awareness"": 77.61, ""stigma"": 57.18}",1.1,48.0,1631,P4
01043,01,043,34543,9125.5,3571,5554.5,0.6086789764944387,253,0.0073242046145384,0.0154477269932821,0.1500480769230769,0.5073965781779232,0.0980227542483281,435,895,high,73.7,43.5,50.59,47.25,63.7,stigma,"[""stigma"", ""documentation"", ""awareness"", ""language""]","{""language"": 43.5, ""documentation"": 50.59, ""awareness"": 47.25, ""stigma"": 63.7}",0.8,58.96,860,P3
01045,01,045,19769,6135.5,3463,2672.5,0.4355798223453671,286,0.0144670949466336,0.0149648598432829,0.1427642468668716,0.4595578936719106,0.1241843289999494,848,2151,moderate,58.63,63.31,49.79,50.52,49.98,language,"[""language"", ""awareness"", ""stigma"", ""documentation""]","{""language"": 63.31, ""documentation"": 49.79, ""awareness"": 50.52, ""stigma"": 49.98}",1.2,70.36,348,P2
01047,01,047,15416,7107.5,5012,2095.5,0.2948294055575097,47,0.0030487804878048,0.0095641517476555,0.1294154545810953,0.3311494551115724,0.2053710430721328,1075,2825,low,48.07,22.17,35.92,50.84,42.76,awareness,"[""awareness"", ""stigma"", ""documentation"", ""language""]","{""language"": 22.17, ""documentation"": 35.92, ""awareness"": 50.84, ""stigma"": 42.76}",1.1,52.88,1277,P3
01049,01,049,25946,8617.0,4216,4401.0,0.5107345944064059,722,0.0278270253603638,0.0581130292163567,0.2105480356553317,0.41860016958298,0.1120403915825175,547,1598,high,67.06,80.22,88.44,58.36,46.3,documentation,"[""documentation"", ""language"", ""awareness"", ""stigma""]","{""language"": 80.22, ""documentation"": 88.44, ""awareness"": 58.36, ""stigma"": 46.3}",1.0,67.06,488,P2
